['id', 'value', 'sk_value']
['id_0', 3.551092352912313, 5.37766865368331]
['id_1', 13.916795471648756, 16.559245678900034]
['id_2', 24.811333478647043, 23.5085950470451]
['id_3', 5.101440436158914, 6.478306159981166]
['id_4', 26.7374726797937, 27.207516152986663]
['id_5', 19.43735346531517, 21.916809502961648]
['id_6', 22.20460696285646, 24.751295357256392]
['id_7', 29.660872382552682, 30.24344042612033]
['id_8', 17.5964527734513, 16.64242443764712]
['id_9', 56.58017426943178, 59.760988216575115]
['id_10', 13.767504260132299, 10.808372404511037]
['id_11', 11.743000466164233, 11.526958393801682]
['id_12', 59.509878887026105, 64.201008247897]
['id_13', 53.19824337746267, 54.3856368053018]
['id_14', 21.97191108867921, 24.530720709840974]
['id_15', 10.833283625735444, 14.350345549104446]
['id_16', 28.53116266813657, 31.480921110710046]
['id_17', 63.70930053880869, 66.08587618642103]
['id_18', 0.24847344054625609, 2.5560403679270323]
['id_19', 18.516626519320397, 19.44283426558619]
['id_20', 39.58035885364255, 41.25623021029965]
['id_21', 65.19429986158165, 70.66365482750902]
['id_22', 6.4722295852731815, 8.933924574397139]
['id_23', 16.208926756225225, 18.49854062545451]
['id_24', 12.580374569052767, 14.770782769161148]
['id_25', 37.415530599726424, 39.967671004050686]
['id_26', 12.697737676432716, 15.660106565171608]
['id_27', 75.45966242606653, 77.2366383276142]
['id_28', 7.253473932274466, 8.349151316324962]
['id_29', 51.42929660448901, 52.93058070757145]
['id_30', 16.81955884431367, 21.80649662201607]
['id_31', 8.026028986230681, 10.800110028521258]
['id_32', -0.49003549452557316, 0.4222122347601447]
['id_33', 23.234914558709335, 18.890649076918802]
['id_34', 30.68781535922269, 28.68128994717484]
['id_35', 36.00784109254483, 38.31636304149798]
['id_36', 39.009313101339835, 42.733688579273746]
['id_37', 29.971866669474053, 31.819904216282502]
['id_38', 38.60685010433444, 39.19406910550603]
['id_39', 37.645679946411384, 36.56461278885403]
['id_40', 3.8494188647422316, 6.805416324373914]
['id_41', 36.739480448572614, 40.44188804603948]
['id_42', 34.804731825358104, 33.7620412850043]
['id_43', 45.46171826129694, 48.78309182626362]
['id_44', 13.679724488130145, 16.60728483129209]
['id_45', 36.61424883080628, 37.63734907708481]
['id_46', 22.826133260511803, 25.026930571613708]
['id_47', 11.928272071297503, 13.030981540457825]
